ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	label	detailed-label
1545403527.549131	CFFIFU1c5IzlccrcYc	192.168.1.196	41326	86.147.201.61	23	tcp		3.133965	0.0	0.0	S0			0	S	3	180	0	0		Benign	
1545336799.60574	C4Pera1JSt6Qoj0Vl5	192.168.1.197	38370	156.107.5.158	37215	tcp					S0			0	S	1	40	0	0		Malicious	Okiru
1532101429.979956	CVHyeI3BipTeyBguxi	192.168.100.108	5526	89.100.83.55	37215	tcp					S0			0	S	1	40	0	0		Malicious	Okiru
1547144773.458874	CqOTIN17R28dV3WOo6	192.168.1.198	24104	91.18.100.79	23	tcp					S0			0	S	1	40	0	0		Benign	
1537532906.093669	CBMwsv49rTU5ZLjbQg	192.168.2.3	54164	52.216.102.99	80	tcp	http	300.134993	292.0	775.0	SF			0	ShADadfFr	9	684	7	1486		benign	
1525881222.047221	CBZ7G72QMBQ8o5noi1	192.168.100.103	51996	96.105.14.237	8080	tcp					S0			0	S	1	60	0	0		Malicious	PartOfAHorizontalPortScan
1545403527.705794	ClNaUU2D9eX6YQdiq9	192.168.1.196	42722	89.7.81.35	23	tcp		3.13571	0.0	0.0	S0			0	S	3	180	0	0		Benign	
1547131436.529978	CFqh9M20wAae4dPm51	192.168.1.197	52010	192.168.1.1	53	udp	dns	0.000499	29.0	45.0	SF			0	Dd	1	57	1	73		Benign	
1547155210.01012	COqpmC3g1ikp8XVlvh	192.168.1.197	123	82.113.53.40	123	udp					S0			0	D	1	76	0	0		Benign	
1545336793.549938	CFGsdx77vl0MH0xhe	192.168.1.197	44002	197.144.8.228	52869	tcp					S0			0	S	1	40	0	0		Malicious	PartOfAHorizontalPortScan
1545336819.872156	CqmMb013roMxgijDQd	192.168.1.197	38114	95.156.215.250	8081	tcp					S0			0	S	1	40	0	0		Malicious	PartOfAHorizontalPortScan
1545411111.458332	CScLvV3qAUp6WQzZx4	192.168.1.195	123	147.251.48.140	123	udp					S0			0	D	1	76	0	0		Benign	
1545403533.32109	CE6HQG2hcPPOta7bl3	192.168.1.196	54166	142.93.82.56	23	tcp					S0			0	S	1	60	0	0		Benign	
1545403435.218279	CwO1Pt1DJukOeYpxh	192.168.1.196	41944	4.4.4.4	23	tcp		3.142971	0.0	0.0	S0			0	S	3	180	0	0		Benign	
1525886067.012113	C7YBfNrFgP16RdFs4	192.168.100.103	52752	117.42.41.118	9527	tcp		2.998793	0.0	0.0	S0			0	S	3	180	0	0		Malicious	PartOfAHorizontalPortScan
1538514847.549736	CDjQv247So9lxDERNf	192.168.100.103	123	77.78.107.252	123	udp					S0			0	D	1	76	0	0		Benign	
1545336793.54693	Csfraj4HE8oJcHsrJg	192.168.1.197	43746	212.53.250.154	80	tcp					S0			0	S	1	40	0	0		Malicious	PartOfAHorizontalPortScan
1532525336.999474	CSFuRN3Y7uQqIdCg27	192.168.100.111	20315	141.45.28.138	81	tcp					S0			0	S	1	40	0	0		Malicious	PartOfAHorizontalPortScan
1545403518.521285	CI78FI27zHSzwpjeBl	192.168.1.196	43316	154.210.204.141	23	tcp					S0			0	S	1	60	0	0		Benign	
1536227045.577425	CxpEJm01iaJAeHIbi	192.168.100.111	18344	197.209.45.66	52869	tcp		2e-06	0.0	0.0	S0			0	S	2	80	0	0		Malicious	DDoS
1538611861.701879	CML3MD0C23feAWaRl	192.168.100.113	34238	192.168.100.1	53	udp	dns	0.001504	45.0	45.0	SF			0	Dd	1	73	1	73		Benign	
1545395893.632334	CtLcNA35DGHHvZnzzi	192.168.1.198	36097	76.77.45.226	37215	tcp					S0			0	S	1	40	0	0		Malicious	Okiru
1525882671.023239	CZnYztwA2jAx3PC0f	192.168.100.103	43763	136.253.178.242	42168	udp					S0			0	D	1	40	0	0		Benign	
1545403532.280951	CTpqDI31JZmoBQQDH2	192.168.1.196	33082	136.87.76.50	23	tcp					S0			0	S	1	60	0	0		Benign	
1536227054.658204	C8dzGje1B7ZfAEHa9	192.168.100.111	18344	156.241.42.199	52869	tcp		2e-06	0.0	0.0	S0			0	S	2	80	0	0		Malicious	DDoS
1526767624.776003	CLjl3m4ILsN2HWZFnc	192.168.2.5	46679	69.99.247.216	22	tcp					S0			0	S	1	60	0	0		Malicious	PartOfAHorizontalPortScan
1547144773.458356	CT5WKL3KoEj1hLl2H4	192.168.1.198	24104	163.28.155.139	23	tcp					S0			0	S	1	40	0	0		Benign	
1545403488.202561	CtKX0m1ecNeNhcXPjb	192.168.1.196	46640	129.40.63.128	23	tcp					S0			0	S	1	60	0	0		Benign	
1536227040.535835	CK2ATb2kGT1yEEonD9	192.168.100.111	17576	103.159.220.142	8081	tcp		2e-06	0.0	0.0	S0			0	S	2	80	0	0		Malicious	PartOfAHorizontalPortScan
1525883751.013795	CDgiRK1r8dQTy1w8V1	192.168.100.103	43763	58.69.87.101	57526	udp					S0			0	D	1	40	0	0		Benign	
