ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	label	detailed-label
1545403534.202349	C8ICSS1X9em1qL7Rrf	192.168.1.196	59974	23.68.17.86	23	tcp					S0			0	S	1	60	0	0		Benign	
1532101357.385344	CLyaSaa1Zga41fNzk	192.168.100.108	5526	32.162.247.49	37215	tcp					S0			0	S	1	40	0	0		Malicious	Okiru
1538511826.5497	C4T0iK11qtBEq4eIVi	192.168.100.103	123	89.221.210.188	123	udp					S0			0	D	1	76	0	0		Benign	
1532101438.244993	CQ50C92xfmUZsgLKd2	192.168.100.108	5526	102.125.30.65	37215	tcp					S0			0	S	1	40	0	0		Malicious	Okiru
1532525414.00594	CiYvpfCkuMKEPt4Ta	192.168.100.111	31430	87.44.196.140	23	tcp					S0			0	S	1	40	0	0		Malicious	PartOfAHorizontalPortScan
1538552011.551149	C2HwQ64yWUBNTpyhV4	192.168.100.103	123	217.30.75.147	123	udp		0.002483	48.0	48.0	SF			0	Dd	1	76	1	76		Benign	
1525885927.010937	CorFjr2apwoP5ORXD3	192.168.100.103	43763	229.242.169.155	62038	udp					S0			0	D	1	40	0	0		Benign	
1538613896.697946	C6S58s1jwUWIXk2lQ1	192.168.100.113	41053	192.168.100.1	53	udp	dns	0.006753	45.0	45.0	SF			0	Dd	1	73	1	73		Benign	
1533120595.474536	C6NZrx4q8WmTo7Z3Vf	192.168.100.113	123	147.251.48.140	123	udp		0.005236	48.0	48.0	SF			0	Dd	1	76	1	76		Benign	
1526764891.471618	Cc7w8sSMt6shr6yXi	192.168.2.5	51214	69.179.188.227	22	tcp		1.206841	0.0	0.0	REJ			0	Sr	2	120	1	40		Benign	
1532101408.212366	CnEjBH5eOc6vSHQQf	192.168.100.108	5526	163.225.185.110	37215	tcp					S0			0	S	1	40	0	0		Malicious	Okiru
1533066405.368387	Ce0le73dIThH0su3Yc	192.168.100.113	35108	128.185.250.50	50	tcp					S0			0	S	1	60	0	0		Malicious	C&C
1525884878.003627	C3xIQd3BK4oFvRsUq	192.168.100.103	43763	241.249.17.52	9858	udp					S0			0	D	1	40	0	0		Benign	
1525883572.013983	C5A8493rRShPYxyP5d	192.168.100.103	43763	220.218.233.237	58645	udp					S0			0	D	1	40	0	0		Benign	
1526758843.260162	CT6KXa219MXHxU6vx4	192.168.2.5	57755	121.248.152.210	22	tcp					S0			0	S	1	60	0	0		Malicious	PartOfAHorizontalPortScan
